"cui","term","target_similarity","article_count","mgb_freq","importance_score","phenotyping_features","expanded_features","symnonym_cui","symnonym_term","acronym_cui","acronym_term"
"C0032914","Pre-Eclampsia","0.2935","9","0.0256","0.7744","true","true","C0341950","Severe pre-eclampsia","AB000pee; AB00pee1","pee; pee1"
"C4025272","Peripheral arterial stenosis","0.3926","6","0.0438","0.7711","true","true","","","",""
"C1098706","human AVP protein","0.2775","13","0.0304","0.7677","true","true","","","AB000adh; AB000avp","adh; avp"
"C1858460","Maternal","0.3478","16","0.1756","0.7668","true","true","","","",""
"C0010068","Coronary heart disease","0.4546","7","0.1162","0.7664","true","true","","","AB000cad","cad"
"C4721874","human insulin","0.285","8","0.0136","0.7656","true","true","","","",""
"C0011570","Mental Depression","0.2661","11","0.0234","0.7614","true","true","C1999266; C0013415; C0041696; C1269683; C2362914; C0344315","Depression, CTCAE; Dysthymic Disorder; Unipolar Depression; Major Depressive Disorder; clinical depression; Depressed mood","",""
"C0000889","Acanthosis Nigricans","0.2451","10","0.011","0.7575","true","true","","","",""
"C3539624","GATA-Type Zinc Finger Protein 1","0.2226","13","0.013","0.7537","true","true","","","",""
"C0332840","Amputated structure (morphologic abnormality)","0.3426","6","0.0274","0.7535","true","true","","","",""
"C0087136","Unmarried","0.2062","17","0.0144","0.7524","true","true","C0037179","Unmarried person","",""
"C0071097","pioglitazone","0.2676","7","0.0082","0.7515","true","true","","","",""
"C0123677","insulin aspart, human","0.3016","12","0.0522","0.751","true","true","C0939412","NovoLog","",""
"C5399720","Hormone [APC]","0.315","23","0.2418","0.7484","true","true","","","",""
"C0032460","Polycystic Ovary Syndrome","0.2012","22","0.0232","0.7476","true","true","C1136382","Sclerocystic Ovaries","AB000pco; AB00pco1; AB00pcos","pco; pco1; pcos"
"C0009566","Complication","0.286","60","0.7378","0.7473","true","true","","","",""
"C0017979","Glycosuria","0.26","18","0.0596","0.7455","true","true","C4552993","Glucosuria, CTCAE","",""
"C1456408","liraglutide","0.2965","8","0.02","0.7451","true","true","C2732208","Victoza","",""
"C4699371","After delivery","0.3097","10","0.0442","0.7434","true","true","","","",""
"C3687832","Drugs - dental services","0.2966","41","0.4904","0.7418","true","true","","","",""
"C0012634","Disease","0.2802","73","0.961","0.7402","true","true","C0457464","types of diseases","",""
"C0726398","GLUCOSE CONTROL","0.2899","19","0.1142","0.7396","true","true","","","",""
"C4551529","Renal Dialysis","0.3457","9","0.089","0.7388","true","true","","","",""
"C0011878","Diabetic Diet","0.425","5","0.0576","0.7353","true","true","","","",""
"C0428548","Glucose level - finding","0.2273","29","0.0712","0.7334","true","true","","","",""
"C5399831","C-peptide, Human","0.2309","10","0.0084","0.7319","true","true","","","",""
"C0038454","Cerebrovascular accident","0.2957","35","0.445","0.7318","true","true","C4554100; C1263853","Stroke, CTCAE; Paralytic stroke","AB000cva","cva"
"C0242339","Dyslipidemias","0.3507","15","0.2122","0.7296","true","true","","","",""
"C0020473","Hyperlipidemia","0.5651","7","0.433","0.7276","true","true","C0008377; C4555212; C0020476","Cholesterol; Hyperlipidemia, CTCAE; Hyperlipoproteinemias","",""
"C3665462","RAW SUGAR","0.2756","32","0.2472","0.7258","true","true","","","",""
"C4738113","Fatalities","0.3275","6","0.024","0.7251","true","true","","","",""
"C1457887","Symptoms","0.2829","62","0.9246","0.7244","true","true","C0159028","General symptom","",""
"C0777169","Lancet","0.3791","7","0.071","0.7233","true","true","","","",""
"C3665624","Serum calcium below normal (finding)","0.3787","6","0.0484","0.7177","true","true","","","",""
"C3541972","Carbohydrate nutrients","0.2924","21","0.1466","0.7168","true","true","","","",""
"C0162429","Malnutrition","0.2553","25","0.1012","0.7151","true","true","C3714509","Nutrition Disorders","",""
"C3840684","Modification","0.4507","8","0.2786","0.7104","true","true","","","",""
"C3714500","Human Growth Hormone","0.2425","10","0.0134","0.7091","true","true","C0169964","Somatropin","AB0000gh; AB00gh-n; AB000ghn; AB000hgh; AB00hghn; AB000sth","gh; gh-n; ghn; hgh; hghn; sth"
"C0743150","Diabetic ulcer","0.3892","3","0.0062","0.7063","true","true","","","",""
"C1140609","Insulin pump","0.1952","18","0.0198","0.7053","true","true","","","",""
"C0002688","Amputation","0.2659","9","0.03","0.702","true","true","","","",""
"C0004153","Atherosclerosis","0.3285","14","0.184","0.7015","true","true","C2711237; C0003850","Atherosclerosis of artery; Arteriosclerosis","",""
"C0023823","Low-Density Lipoproteins","0.3053","9","0.043","0.7014","true","true","","","AB000ldl; AB00ldls","ldl; ldls"
"C1272883","Injection","0.3571","22","0.7166","0.7002","true","true","","","AB000inj","inj"
"C0221423","Illness (finding)","0.3478","22","0.6134","0.6915","true","true","C4737703","patient illness","AB00sick","sick"
"C0008679","Chronic disease","0.3105","10","0.0788","0.6884","true","true","","","",""
"C4521445","Plasma Product","0.3283","16","0.2192","0.6871","true","true","","","",""
"C4284399","Dehydration procedure","0.299","21","0.243","0.6823","true","true","","","",""
"C0004057","Aspirin","0.4657","9","0.5","0.6798","true","true","C0699266; C0699267; C0699269; C0699270; C0699274","Aspergum; Empirin; Extren; Measurin; Ecotrin","AB000asa","asa"
"C3534430","Serum glucose","0.3148","6","0.02","0.6796","true","true","","","",""
"C1272092","Impaired fasting glycaemia","0.2013","12","0.0146","0.6784","true","true","","","",""
"C3469597","Administration of medication","0.4172","10","0.4236","0.6778","true","true","C0150270; C0806914","Medication Management; Medication administered","",""
"C4061114","Acute illness","0.4059","5","0.0514","0.6772","true","true","","","",""
"C0018802","Congestive heart failure","0.3644","13","0.3018","0.6734","true","true","C0018801","Heart failure","AB000ccf; AB000chf","ccf; chf"
"C0011581","Depressive disorder","0.3334","11","0.1352","0.6722","true","true","C0349217","Depressive episode, unspecified","",""
"C0018799","Heart Diseases","0.3574","13","0.3326","0.6714","true","true","","","",""
"C0848390","excessive urination","0.2757","5","0.0054","0.665","true","true","","","",""
"C0085096","Peripheral Vascular Diseases","0.3127","9","0.069","0.6644","true","true","C1306889","Peripheral arterial occlusive disease","AB000pvd; AB00pvds","pvd; pvds"
"C4552766","Miscarriage","0.4494","5","0.1112","0.662","true","true","","","",""
"C2926735","Duration","0.3331","24","0.723","0.662","true","true","","","",""
"C0020488","Hypernatremia","0.2791","9","0.031","0.6599","true","true","C1522136; C4554636","Hypernatremia result; Hypernatremia, CTCAE","",""
"C0031117","Peripheral Neuropathy","0.305","12","0.1144","0.657","true","true","C4721453","Peripheral Nervous System Diseases","",""
"C3842788","Taking insulin","0.3826","3","0.0144","0.6565","true","true","","","",""
"C2316810","Chronic kidney disease stage 5","0.2655","10","0.039","0.6553","true","true","C0035078","Kidney Failure","AB00esrd","esrd"
"C0231221","Asymptomatic","0.2985","30","0.693","0.6537","true","true","C0436342","Free of symptoms","",""
"C5201148","Moderate","0.2886","29","0.5154","0.6522","true","true","","","",""
"C0011209","Obstetric Delivery","0.2299","23","0.0852","0.6519","true","true","C0204778","delivery by nurse","",""
"C1704436","Peripheral Arterial Diseases","0.3317","6","0.0442","0.6503","true","true","C1306889","Peripheral arterial occlusive disease","AB000pad","pad"
"C1708521","Insulin Aspart","0.3676","5","0.0432","0.6501","true","true","","","",""
"C1821766","Glycosylated hemoglobin level","0.2387","8","0.0142","0.6497","true","true","","","",""
"C0860803","Glucose increased","0.2768","6","0.017","0.6459","true","true","","","",""
"C0205082","Severe (severity modifier)","0.1833","58","0.1242","0.6446","true","true","","","",""
"C0017601","Glaucoma","0.3559","8","0.1466","0.6442","true","true","C1962986","Glaucoma, CTCAE","",""
"C0011175","Dehydration","0.286","22","0.2836","0.6435","true","true","C1963090","Dehydration, CTCAE","",""
"C0014499","Epidemic","0.2211","9","0.0154","0.6424","true","true","","","",""
"C3887532","Ulceration","0.4392","7","0.2846","0.6416","true","true","","","",""
"C3714660","Trauma","0.4549","9","0.575","0.6406","true","true","C3263723","Traumatic injury","",""
"C0086466","Injectables","0.3171","10","0.108","0.6388","true","true","","","",""
"C0201950","Cholesterol measurement test","0.3135","21","0.5776","0.6373","true","true","","","AB00chol","chol"
"C0876064","Lantus","0.5073","3","0.0556","0.6363","true","true","C0907402","Insulin Glargine","",""
"C0595939","Stillbirth","0.2898","6","0.0214","0.636","true","true","","","",""
"C0023779","Lipids","0.3522","15","0.5092","0.6331","true","true","C0012171; C0369610","Dietary Fats; Total lipids","",""
"C1579931","Depressed - symptom","0.2675","11","0.0606","0.6308","true","true","C0344315","Depressed mood","",""
"C0019029","Hemoglobin concentration result","0.2225","6","0.0066","0.629","true","true","","","AB000hgb","hgb"
"C4759928","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20","0.2347","37","0.3008","0.6284","true","true","","","",""
"C0039082","Syndrome","0.3016","21","0.4034","0.6282","true","true","","","",""
"C0022671","Kidney Transplantation","0.2009","13","0.0262","0.627","true","true","C1302112","Kidney replacement procedure","",""
"C1456868","Diabetic foot ulcer","0.3209","3","0.0054","0.6203","true","true","","","",""
"C0001122","Acidosis","0.286","9","0.0484","0.62","true","true","C4552820","Acidosis, CTCAE","",""
"C0456909","Blindness","0.2526","16","0.1288","0.6194","true","true","C3665347","Visual Impairment","",""
"C2362049","Microalbumin","0.3112","10","0.119","0.6187","true","true","","","",""
"C4554465","examination of kidney","0.2718","25","0.3238","0.6185","true","true","","","",""
"C4324389","Cardiovascular risk","0.2892","9","0.0588","0.6173","true","true","","","",""
"C4263551","Multisection for pediatrics","0.2614","19","0.1626","0.6166","true","true","","","",""
"C0019932","Hormones","0.2441","31","0.2912","0.6162","true","true","","","",""
"C0007465","Cause of Death","0.2286","8","0.0176","0.6161","true","true","","","AB000cod; AB0000dd","cod; dd"
"C4759845","CTCAE v4 Grade 2","0.2324","28","0.1886","0.6155","true","true","","","",""
"C1306577","Death (finding)","0.2805","21","0.3278","0.614","true","true","C0011065; C1546956","Cessation of life; Patient Outcome - Died","AB00dead; AB00died","dead; died"
"C5139167","Severe infection","0.3836","3","0.0128","0.6135","true","true","","","",""
"C0015934","Fetal Growth Retardation","0.2113","7","0.0082","0.61","true","true","C0021296; C4551828","Infant, Small for Gestational Age; Fetal Growth Retardation, CTCAE","AB00iugr","iugr"
"C0038435","Stress","0.2645","25","0.32","0.6095","true","true","C0038443; C0038441","Stress, Psychological; Stress Disorders, Traumatic","",""
"C4551887","birth (history)","0.3336","19","0.8198","0.6087","true","true","C0005615","Birth","",""
"C1558916","Adverse Event Associated with Syndromes","0.2906","8","0.0594","0.6071","true","true","","","",""
"C0497406","Overweight","0.2638","25","0.3552","0.6046","true","true","","","",""
"C0022885","Laboratory Procedures","0.2642","41","0.8658","0.604","false","true","C0200378; C0681827","Laboratory test panel; laboratory studies","AB00test","test"
"C3539106","Sufficiently defined concept definition status (core metadata concept)","0.2496","29","0.3282","0.6028","false","true","","","",""
"C3842396","No difference","0.3364","6","0.0606","0.6006","false","true","","","",""
"C3669205","Blood glucose monitoring (regime/therapy)","0.2851","4","0.0102","0.5993","false","true","C1820407","Monitors blood glucose","",""
"C0362046","Prediabetes syndrome","0.219","24","0.1408","0.5992","false","true","C0271650","Glucose Intolerance (disease)","",""
"C0004368","Autoimmune state","0.2184","8","0.0128","0.597","false","true","C0004364","Autoimmune Diseases","",""
"C0311392","Physical findings","0.2346","20","0.1208","0.5967","false","true","","","AB00sign","sign"
"C0684336","Impaired health","0.2995","17","0.4088","0.5946","false","true","","","",""
"C4763675","Single Agent Therapy","0.3001","9","0.081","0.5921","false","true","","","",""
"C0017642","Glipizide","0.4387","3","0.0314","0.5919","false","true","C0701228","Glucotrol","",""
"C4742979","LEP protein, human","0.261","4","0.007","0.5911","false","true","","","",""
"C1638311","Blood glucose management","0.2512","5","0.0088","0.5901","false","true","","","",""
"C0163712","Relate - vinyl resin","0.1885","56","0.2202","0.5884","false","true","","","",""
"C0277785","Functional disorder","0.2635","25","0.4056","0.5862","false","true","","","",""
"C3469186","HEMOCHROMATOSIS, TYPE 1","0.3334","4","0.0272","0.5857","false","true","","","AB000hfe; AB00hfe1","hfe; hfe1"
"C2936329","Asymptomatic Diseases","0.2626","4","0.006","0.5848","false","true","","","",""
"C0699748","Pathogenesis","0.181","17","0.0282","0.5844","false","true","","","",""
"C3830528","Destroyed Medical Device","0.3484","4","0.0274","0.5837","false","true","","","",""
"C1272936","Parenteral dosage form","0.289","13","0.18","0.583","false","true","","","AB000inj","inj"
"C0546884","Hypovolemia","0.2818","11","0.0978","0.5826","false","true","","","",""
"C3665386","Abnormal vision","0.4259","4","0.1278","0.5807","false","true","C0042790","Vision Disorders","",""
"C0033687","Proteinuria","0.3332","7","0.0888","0.5798","false","true","C4554346","Proteinuria, CTCAE 5.0","",""
"C0344232","Blurred vision","0.2426","25","0.318","0.579","false","true","C1557375","Blurred Vision, CTCAE","",""
"C1565489","Renal Insufficiency","0.3062","9","0.1156","0.5784","false","true","C0035078","Kidney Failure","",""
"C0460139","Pressure (finding)","0.2974","14","0.247","0.5779","false","true","","","",""
"C0524620","Metabolic Syndrome X","0.2677","8","0.0468","0.5773","false","true","","","",""
"C1559198","Adverse Event Associated with Endocrine","0.2792","25","0.69","0.5755","false","true","","","",""
"C3890554","Physical Inactivity","0.317","10","0.2638","0.5689","false","true","","","",""
"C0600457","Gravidity","0.2513","25","0.4326","0.5665","false","true","","","",""
"C0005893","Body mass index procedure","0.2796","21","0.4764","0.5663","false","true","","","AB000bmi","bmi"
"C0268030","Acidemia","0.2552","5","0.0094","0.566","false","true","","","",""
